id,previousThrow0,previousThrow1,previousThrow2,previousThrow3,previousThrow4,previousThrow5,previousThrow6,previousThrow7,previousThrow8,previousThrow9,playerThrow
55a48ab34a314bd33236f655,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f656,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f657,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f658,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f659,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f65a,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper,paper
55a48ab34a314bd33236f665,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f666,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f667,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f668,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f669,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66a,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66b,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66c,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66d,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66e,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f66f,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f670,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f671,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f672,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f673,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f674,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f675,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f676,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f677,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f678,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f679,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67a,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67b,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67c,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67d,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67e,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f67f,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f680,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f681,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f682,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f683,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f684,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f685,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f686,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f687,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f688,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f689,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f68a,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f68b,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
55a48ab34a314bd33236f68c,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors,scissors
